id,player_name,age,games,games_started,minutes_played,field_goals,field_attempts,field_percent,three_fg,three_attempts,three_percent,two_fg,two_attempts,two_percent,effect_fg_percent,ft,fta,ft_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,season
3134,Terrence Ross,27,81,0,2150,440,1027,0.428,217,566,0.383,223,461,0.484,0.534,126,144,0.875,27,253,280,135,72,29,90,119,1223,ORL,2019
3745,Terrence Ross,26,24,20,600,76,191,0.398,30,93,0.323,46,98,0.469,0.476,27,36,0.75,10,63,73,38,27,11,29,45,209,ORL,2018
3867,Terrence Ross,25,54,0,1207,211,479,0.441,96,256,0.375,115,223,0.516,0.541,41,50,0.82,14,124,138,45,53,20,33,82,559,TOR,2017
4283,Terrence Ross,25,24,24,748,115,267,0.431,46,135,0.341,69,132,0.523,0.517,23,27,0.852,4,64,68,43,34,13,35,61,299,ORL,2017
4401,Terrence Ross,24,73,7,1747,270,626,0.431,131,339,0.386,139,287,0.484,0.536,49,62,0.79,21,164,185,56,54,25,46,120,720,TOR,2016
4949,Terrence Ross,23,82,61,2092,309,753,0.41,145,390,0.372,164,363,0.452,0.507,44,56,0.786,32,194,226,86,53,25,69,136,807,TOR,2015
5515,Terrence Ross,22,81,62,2159,318,751,0.423,161,408,0.395,157,343,0.458,0.531,82,98,0.837,43,209,252,79,64,27,88,183,879,TOR,2014
6061,Terrence Ross,21,73,2,1239,186,457,0.407,65,196,0.332,121,261,0.464,0.478,30,42,0.714,35,109,144,53,43,14,48,122,467,TOR,2013
79,Kevin Durant,34,39,39,1403,410,734,0.559,71,189,0.376,339,545,0.622,0.607,267,286,0.934,14,248,262,207,32,57,136,92,1158,BRK,2023
442,Kevin Durant,34,8,8,269,73,128,0.57,22,41,0.537,51,87,0.586,0.656,40,48,0.833,3,48,51,28,2,10,20,7,208,PHO,2023
704,Kevin Durant,33,55,55,2047,578,1115,0.518,115,300,0.383,463,815,0.568,0.57,372,409,0.91,29,378,407,351,48,52,191,113,1643,BRK,2022
1425,Kevin Durant,32,35,32,1157,324,603,0.537,85,189,0.45,239,414,0.577,0.608,210,238,0.882,13,234,247,195,25,45,120,70,943,BRK,2021
3004,Kevin Durant,30,78,78,2702,721,1383,0.521,137,388,0.353,584,995,0.587,0.571,448,506,0.885,33,464,497,457,58,84,225,155,2027,GSW,2019
3616,Kevin Durant,29,68,68,2325,630,1222,0.516,173,413,0.419,457,809,0.565,0.586,359,404,0.889,31,433,464,366,50,119,207,133,1792,GSW,2018
4173,Kevin Durant,28,62,62,2070,551,1026,0.537,117,312,0.375,434,714,0.608,0.594,336,384,0.875,39,474,513,300,66,99,138,117,1555,GSW,2017
4530,Kevin Durant,27,72,72,2578,698,1381,0.505,186,481,0.387,512,900,0.569,0.573,447,498,0.898,45,544,589,361,69,85,250,137,2029,OKC,2016
5090,Kevin Durant,26,27,27,913,238,467,0.51,64,159,0.403,174,308,0.565,0.578,146,171,0.854,16,162,178,110,24,25,74,40,686,OKC,2015
5637,Kevin Durant,25,81,81,3122,849,1688,0.503,192,491,0.391,657,1197,0.549,0.56,703,805,0.873,58,540,598,445,103,59,285,174,2593,OKC,2014
6185,Kevin Durant,24,81,81,3119,731,1433,0.51,139,334,0.416,592,1099,0.539,0.559,679,750,0.905,46,594,640,374,116,105,280,143,2280,OKC,2013
6702,Kevin Durant,23,66,66,2546,643,1297,0.496,133,344,0.387,510,953,0.535,0.547,431,501,0.86,40,487,527,231,88,77,248,133,1850,OKC,2012
7232,Kevin Durant,22,78,78,3038,711,1538,0.462,145,414,0.35,566,1124,0.504,0.509,594,675,0.88,57,476,533,214,88,76,218,159,2161,OKC,2011
7747,Kevin Durant,21,82,82,3239,794,1668,0.476,128,351,0.365,666,1317,0.506,0.514,756,840,0.9,105,518,623,231,112,84,271,171,2472,OKC,2010
435,Bismack Biyombo,30,61,14,874,119,206,0.578,0,0,,119,206,0.578,0.578,25,70,0.357,89,171,260,56,18,88,51,114,263,PHO,2023
1132,Bismack Biyombo,29,36,3,506,86,145,0.593,0,0,,86,145,0.593,0.593,38,71,0.535,63,104,167,23,12,26,25,70,210,PHO,2022
1940,Bismack Biyombo,28,66,36,1349,142,242,0.587,0,1,0.0,142,241,0.589,0.587,47,105,0.448,137,210,347,81,17,74,71,141,331,CHO,2021
2532,Bismack Biyombo,27,53,29,1029,151,278,0.543,0,0,,151,278,0.543,0.543,91,151,0.603,120,188,308,50,10,49,48,116,393,CHO,2020
3157,Bismack Biyombo,26,54,32,783,89,156,0.571,0,0,,89,156,0.571,0.571,58,91,0.637,81,166,247,33,11,41,34,103,236,CHO,2019
3739,Bismack Biyombo,25,82,25,1495,183,352,0.52,0,1,0.0,183,351,0.521,0.52,102,157,0.65,144,324,468,66,21,95,84,158,468,ORL,2018
4277,Bismack Biyombo,24,81,27,1793,179,339,0.528,0,0,,179,339,0.528,0.528,125,234,0.534,157,410,567,74,25,91,95,202,483,ORL,2017
4400,Bismack Biyombo,23,82,22,1808,156,288,0.542,0,1,0.0,156,287,0.544,0.542,142,226,0.628,182,473,655,29,19,133,71,225,454,TOR,2016
5405,Bismack Biyombo,22,64,21,1243,101,186,0.543,0,0,,101,186,0.543,0.543,102,175,0.583,159,248,407,16,18,99,52,140,304,CHO,2015
5951,Bismack Biyombo,21,77,9,1072,88,144,0.611,0,0,,88,144,0.611,0.611,46,89,0.517,105,261,366,8,7,86,40,124,222,CHA,2014
6468,Bismack Biyombo,20,80,65,2186,156,346,0.451,0,0,,156,346,0.451,0.451,74,142,0.521,194,388,582,35,28,143,82,195,386,CHA,2013
6987,Bismack Biyombo,19,63,41,1455,129,278,0.464,0,0,,129,278,0.464,0.464,69,143,0.483,113,255,368,27,20,115,71,145,327,CHA,2012
7,Eric Gordon,34,47,47,1418,210,478,0.439,85,245,0.347,125,233,0.536,0.528,110,135,0.815,12,85,97,136,30,17,83,45,615,HOU,2023
476,Eric Gordon,34,22,11,547,81,175,0.463,47,111,0.423,34,64,0.531,0.597,32,38,0.842,4,33,37,47,13,8,21,33,241,LAC,2023
615,Eric Gordon,33,57,46,1669,268,564,0.475,124,301,0.412,144,263,0.548,0.585,105,135,0.778,15,98,113,154,28,18,107,63,765,HOU,2022
1334,Eric Gordon,32,27,13,789,159,367,0.433,69,210,0.329,90,157,0.573,0.527,94,114,0.825,8,50,58,71,14,13,51,44,481,HOU,2021
1958,Eric Gordon,31,36,15,1016,171,463,0.369,96,303,0.317,75,160,0.469,0.473,82,107,0.766,9,62,71,54,23,13,43,70,520,HOU,2020
2545,Eric Gordon,30,68,53,2158,384,938,0.409,216,600,0.36,168,338,0.497,0.525,119,152,0.783,17,131,148,129,41,27,90,143,1103,HOU,2019
3167,Eric Gordon,29,69,30,2154,415,970,0.428,218,608,0.359,197,362,0.544,0.54,195,241,0.809,25,145,170,154,44,27,130,116,1243,HOU,2018
3771,Eric Gordon,28,75,15,2323,412,1016,0.406,246,661,0.372,166,355,0.468,0.527,147,175,0.84,29,172,201,188,48,41,121,150,1217,HOU,2017
4445,Eric Gordon,27,45,44,1481,231,552,0.418,113,294,0.384,118,258,0.457,0.521,111,125,0.888,10,89,99,121,43,14,73,98,686,NOP,2016
4981,Eric Gordon,26,61,60,2018,285,694,0.411,141,315,0.448,144,379,0.38,0.512,107,133,0.805,28,131,159,229,50,14,122,145,818,NOP,2015
5550,Eric Gordon,25,64,64,2057,356,817,0.436,101,258,0.391,255,559,0.456,0.498,175,223,0.785,30,135,165,208,74,12,134,114,988,NOP,2014
6100,Eric Gordon,24,42,40,1264,235,584,0.402,56,173,0.324,179,411,0.436,0.45,187,222,0.842,10,67,77,137,45,8,117,75,713,NOH,2013
6623,Eric Gordon,23,9,9,310,63,140,0.45,10,40,0.25,53,100,0.53,0.486,49,65,0.754,2,23,25,31,13,4,24,20,185,NOH,2012
7417,Eric Gordon,22,56,56,2112,427,949,0.45,106,291,0.364,321,658,0.488,0.506,287,348,0.825,45,119,164,244,71,18,151,115,1247,LAC,2011
7941,Eric Gordon,21,62,60,2229,352,784,0.449,119,321,0.371,233,463,0.503,0.525,222,299,0.742,25,135,160,186,69,14,144,96,1045,LAC,2010
434,Ish Wainright,28,60,2,915,84,227,0.37,57,173,0.329,27,54,0.5,0.496,26,31,0.839,45,94,139,53,38,22,22,117,251,PHO,2023
1134,Ish Wainright,27,45,0,359,41,104,0.394,19,59,0.322,22,45,0.489,0.486,7,12,0.583,27,27,54,15,20,6,13,49,108,PHO,2022
426,Deandre Ayton,24,67,67,2035,522,887,0.589,7,24,0.292,515,863,0.597,0.592,152,200,0.76,172,495,667,115,37,53,120,190,1203,PHO,2023
1126,Deandre Ayton,23,58,58,1713,442,697,0.634,7,19,0.368,435,678,0.642,0.639,106,142,0.746,149,444,593,84,40,40,91,142,997,PHO,2022
1775,Deandre Ayton,22,69,69,2115,430,687,0.626,4,20,0.2,426,667,0.639,0.629,133,173,0.769,228,499,727,99,41,81,103,196,997,PHO,2021
2367,Deandre Ayton,21,38,32,1236,310,568,0.546,3,13,0.231,307,555,0.553,0.548,67,89,0.753,147,289,436,72,26,58,80,117,690,PHO,2020
2982,Deandre Ayton,20,71,70,2183,509,870,0.585,0,4,0.0,509,866,0.588,0.585,141,189,0.746,223,506,729,125,61,67,126,209,1159,PHO,2019
429,Devin Booker,26,53,53,1835,527,1067,0.494,111,316,0.351,416,751,0.554,0.546,306,358,0.855,46,194,240,293,51,18,145,159,1471,PHO,2023
1122,Devin Booker,25,68,68,2345,662,1421,0.466,183,478,0.383,479,943,0.508,0.53,315,363,0.868,45,297,342,329,77,26,162,180,1822,PHO,2022
1773,Devin Booker,24,67,67,2270,623,1287,0.484,126,371,0.34,497,916,0.543,0.533,340,392,0.867,34,247,281,289,53,16,207,181,1712,PHO,2021
2361,Devin Booker,23,70,70,2512,627,1283,0.489,141,398,0.354,486,885,0.549,0.544,468,509,0.919,29,268,297,456,49,18,264,213,1863,PHO,2020
2981,Devin Booker,22,64,64,2242,586,1255,0.467,135,414,0.326,451,841,0.536,0.521,393,454,0.866,39,226,265,433,56,13,264,200,1700,PHO,2019
3596,Devin Booker,21,54,54,1865,455,1054,0.432,147,384,0.383,308,670,0.46,0.501,289,329,0.878,26,218,244,253,47,14,194,168,1346,PHO,2018
4152,Devin Booker,20,78,78,2730,606,1431,0.423,147,405,0.363,459,1026,0.447,0.475,367,441,0.832,46,203,249,268,72,21,241,242,1726,PHO,2017
4679,Devin Booker,19,76,51,2108,367,867,0.423,99,289,0.343,268,578,0.464,0.48,215,256,0.84,27,160,187,200,44,20,160,225,1048,PHO,2016
287,Drew Eubanks,25,78,28,1584,214,334,0.641,7,18,0.389,207,316,0.655,0.651,83,125,0.664,132,286,418,103,40,102,67,169,518,POR,2023
833,Drew Eubanks,24,49,9,595,84,159,0.528,1,8,0.125,83,151,0.55,0.531,59,79,0.747,64,132,196,50,13,30,46,61,228,SAS,2022
947,Drew Eubanks,24,22,22,650,137,212,0.646,4,15,0.267,133,197,0.675,0.656,40,51,0.784,66,120,186,35,18,10,35,61,318,POR,2022
1534,Drew Eubanks,23,54,3,755,116,205,0.566,2,2,1.0,114,203,0.562,0.571,77,106,0.726,74,167,241,42,18,49,45,88,311,SAS,2021
2136,Drew Eubanks,22,22,3,272,43,67,0.642,1,1,1.0,42,66,0.636,0.649,20,26,0.769,28,57,85,15,5,17,21,37,107,SAS,2020
2755,Drew Eubanks,21,23,0,113,15,26,0.577,0,0,,15,26,0.577,0.577,11,13,0.846,6,28,34,7,2,5,8,11,41,SAS,2019
553,Bradley Beal,29,50,50,1673,444,878,0.506,80,219,0.365,364,659,0.552,0.551,192,228,0.842,41,155,196,271,45,33,145,107,1160,WAS,2023
1260,Bradley Beal,28,40,40,1439,348,771,0.451,63,210,0.3,285,561,0.508,0.492,169,203,0.833,38,151,189,265,36,15,135,95,928,WAS,2022
1886,Bradley Beal,27,60,60,2147,670,1382,0.485,130,373,0.349,540,1009,0.535,0.532,408,459,0.889,72,211,283,265,69,22,187,140,1878,WAS,2021
2484,Bradley Beal,26,57,57,2053,593,1303,0.455,170,481,0.353,423,822,0.515,0.52,385,457,0.842,52,190,242,347,71,23,194,126,1741,WAS,2020
3105,Bradley Beal,25,82,82,3028,764,1609,0.475,209,596,0.351,555,1013,0.548,0.54,362,448,0.808,89,322,411,448,121,58,224,226,2099,WAS,2019
3718,Bradley Beal,24,82,82,2977,683,1484,0.46,199,530,0.375,484,954,0.507,0.527,292,369,0.791,61,302,363,373,96,36,214,160,1857,WAS,2018
4256,Bradley Beal,23,77,77,2684,637,1322,0.482,223,552,0.404,414,770,0.538,0.566,282,342,0.825,53,187,240,267,83,21,156,169,1779,WAS,2017
4791,Bradley Beal,22,55,35,1708,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958,WAS,2016
5366,Bradley Beal,21,63,59,2107,363,851,0.427,106,259,0.409,257,592,0.434,0.489,130,166,0.783,57,184,241,194,76,18,123,136,962,WAS,2015
5913,Bradley Beal,20,73,73,2530,481,1149,0.419,138,343,0.402,343,806,0.426,0.479,149,189,0.788,54,219,273,243,71,18,128,153,1249,WAS,2014
6432,Bradley Beal,19,56,46,1745,282,687,0.41,91,236,0.386,191,451,0.424,0.477,125,159,0.786,43,168,211,137,50,29,90,113,780,WAS,2013
556,Jordan Goodwin,24,62,7,1106,158,353,0.448,38,118,0.322,120,235,0.511,0.501,53,69,0.768,57,148,205,168,58,26,57,95,407,WAS,2023
1282,Jordan Goodwin,23,2,0,6,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,1,1,0,0,0,0,1,0,WAS,2022
83,Yuta Watanabe,28,58,1,928,114,232,0.491,60,135,0.444,54,97,0.557,0.621,34,47,0.723,30,111,141,48,25,17,22,80,322,BRK,2023
739,Yuta Watanabe,27,38,4,445,56,138,0.406,27,79,0.342,29,59,0.492,0.504,24,40,0.6,18,74,92,21,11,16,19,38,163,TOR,2022
1455,Yuta Watanabe,26,50,4,723,79,180,0.439,36,90,0.4,43,90,0.478,0.539,24,29,0.828,36,123,159,40,26,19,19,57,218,TOR,2021
2084,Yuta Watanabe,25,18,0,105,15,34,0.441,3,8,0.375,12,26,0.462,0.485,3,8,0.375,7,13,20,5,5,1,2,9,36,MEM,2020
2695,Yuta Watanabe,24,15,0,174,15,51,0.294,2,16,0.125,13,35,0.371,0.314,7,10,0.7,4,27,31,8,4,1,6,11,39,MEM,2019
273,Udoka Azubuike,23,36,4,359,59,72,0.819,0,0,,59,72,0.819,0.819,7,20,0.35,31,88,119,11,6,15,18,34,125,UTA,2023
926,Udoka Azubuike,22,17,6,195,37,49,0.755,0,0,,37,49,0.755,0.755,6,11,0.545,18,53,71,0,1,11,12,25,80,UTA,2022
1619,Udoka Azubuike,21,15,0,57,4,9,0.444,0,0,,4,9,0.444,0.444,8,10,0.8,4,9,13,0,1,4,3,9,16,UTA,2021
430,Damion Lee,30,74,5,1506,200,452,0.442,110,247,0.445,90,205,0.439,0.564,94,104,0.904,39,186,225,99,30,7,78,118,604,PHO,2023
1150,Damion Lee,29,63,5,1256,169,383,0.441,63,187,0.337,106,196,0.541,0.523,66,75,0.88,27,176,203,63,39,6,38,95,467,GSW,2022
1796,Damion Lee,28,57,1,1079,128,274,0.467,77,194,0.397,51,80,0.638,0.608,40,44,0.909,22,158,180,73,38,8,30,89,373,GSW,2021
2382,Damion Lee,27,49,36,1423,213,511,0.417,85,239,0.356,128,272,0.471,0.5,110,126,0.873,32,207,239,133,50,6,67,116,621,GSW,2020
3017,Damion Lee,26,32,0,375,56,127,0.441,27,68,0.397,29,59,0.492,0.547,19,22,0.864,8,56,64,13,13,0,11,28,158,GSW,2019
3711,Damion Lee,25,15,11,404,62,152,0.408,15,60,0.25,47,92,0.511,0.457,22,29,0.759,11,60,71,29,19,1,14,25,161,ATL,2018
